Group_ID,Site,Text,URL
1,bestbuy,Sports Fan Shop,http://www.bestbuy.com/site/Electronics/Health-Fitness/Fan-Shop/pcmcat230600050006.c?id=pcmcat230600050006
1,bjs,Fan Gear & Memorabilia,http://www.bjs.com/sports/fan-gear--memorabilia.category.1026.986.2001426.1
1,walmart,Sports Fan Shop,http://www.walmart.com/cp/Sports-Fan-Shop/1063984?povid=cat121828-env999999-moduleA072012-lLinkGNAV5_SportsFitnessOutdoors_SportsFanShop
1,wayfair,Ceiling Fans,http://www.wayfair.com/Ceiling-Fans-C215430.html
1,wayfair,Fan Zone,http://www.wayfair.com/Fan-Zone-C416709.html
1,bestbuy,Sports & Outdoor Recreation,http://www.bestbuy.com/site/Health-Fitness/Sports-Outdoor-Recreation/pcmcat273800050017.c?id=pcmcat273800050017
1,bjs,"Telescopes, Binoculars & Sports Cameras",http://www.bjs.com/electronics/telescopes-binoculars--sports-cameras.category.381.160.2001777.1
1,bjs,Team Sports,http://www.bjs.com/sports/team-sports.category.28027.986.2000806.1
1,bjs,Motor Sports,http://www.bjs.com/sports/motor-sports.category.1034.986.2002129.1
1,overstock,Men's Sport Clothing,http://www.overstock.com/Sports-Toys/Mens-Sport-Clothing/287/dept.html
1,overstock,Sports & Fitness,http://www.overstock.com/Sports-Toys/Sports-Fitness/17/dept.html
1,overstock,Water Sports & Pools,http://www.overstock.com/Sports-Toys/Water-Sports-Pools/449/dept.html
1,overstock,Winter Sports,http://www.overstock.com/Sports-Toys/Winter-Sports/218/dept.html
1,overstock,Women's Sport Clothing,http://www.overstock.com/Sports-Toys/Womens-Sport-Clothing/288/dept.html
1,overstock,Sports & Outdoors,http://www.overstock.com/As-Seen-on-TV/Sports-Outdoors/433/dept.html
1,walmart,Sports,http://www.walmart.com/cp/Team-Sports/4161?povid=cat121828-env999999-moduleA072012-lLinkGNAV5_SportsFitnessOutdoors_Sports
1,walmart,Wellness Shops,http://health.walmart.com/health-tips/wellness-shops/102/?povid=cat121828-env999999-moduleA072012-lLinkGNAV3_Health_WellnessShops
1,walmart,Birthday Shop,http://www.walmart.com/cp/1088666?povid=cat121828-env999999-moduleA072012-lLinkGNAV4_PartyOccasions_BirthdayShop
1,walmart,Wedding Shop,http://www.walmart.com/cp/Wedding/112776?povid=cat121828-env999999-moduleA072012-lLinkGNAV4_PartyOccasions_WeddingShop
1,walmart,Shop By Age,http://www.walmart.com/cp/546511?povid=cat121828-env999999-moduleA092212-lLinkGNAV5_Toys_ShopByAge
2,overstock,Men's Sport Clothing,http://www.overstock.com/Sports-Toys/Mens-Sport-Clothing/287/dept.html
2,overstock,Women's Sport Clothing,http://www.overstock.com/Sports-Toys/Womens-Sport-Clothing/288/dept.html
2,overstock,"Clothing, Shoes & Access.",http://www.overstock.com/Worldstock-Fair-Trade/Clothing-Shoes-Access/45/dept.html
2,overstock,Children's Clothing,http://www.overstock.com/Clothing-Shoes/Childrens-Clothing/27/dept.html
2,overstock,Men's Clothing,http://www.overstock.com/Clothing-Shoes/Mens-Clothing/26/dept.html
2,overstock,Women's Clothing,http://www.overstock.com/Clothing-Shoes/Womens-Clothing/213/dept.html
2,overstock,Baby Clothing,http://www.overstock.com/Baby/Baby-Clothing/271/dept.html
2,overstock,Clothing & Shoes,http://www.overstock.com/Eziba/Clothing-Shoes/349/dept.html
2,bloomingdales,Men,http://www1.bloomingdales.com/catalog/index.ognc?CategoryID=3864&PageID=16595938932650
2,overstock,Men's Activewear,http://www.overstock.com/Clothing-Shoes/Mens-Activewear/113/dept.html
2,walmart,Men,http://www.walmart.com/cp/mens-clothing/133197?povid=cat121828-env999999-moduleA072012-lLinkGNAV1_Apparel_Men
2,walmart,Men's Big & Tall,http://www.walmart.com/cp/mens-big-and-tall-clothing/133198?povid=cat121828-env999999-moduleA072012-lLinkGNAV1_Apparel_MensBigTall
2,walmart,Men's Grooming,http://www.walmart.com/cp/1056884?povid=cat121828-env999999-moduleA072012-lLinkGNAV1_Beauty_MensGrooming
2,bestbuy,Sports & Outdoor Recreation,http://www.bestbuy.com/site/Health-Fitness/Sports-Outdoor-Recreation/pcmcat273800050017.c?id=pcmcat273800050017
2,bestbuy,Sports Fan Shop,http://www.bestbuy.com/site/Electronics/Health-Fitness/Fan-Shop/pcmcat230600050006.c?id=pcmcat230600050006
2,bjs,"Telescopes, Binoculars & Sports Cameras",http://www.bjs.com/electronics/telescopes-binoculars--sports-cameras.category.381.160.2001777.1
2,bjs,Team Sports,http://www.bjs.com/sports/team-sports.category.28027.986.2000806.1
2,bjs,Motor Sports,http://www.bjs.com/sports/motor-sports.category.1034.986.2002129.1
2,overstock,Sports & Fitness,http://www.overstock.com/Sports-Toys/Sports-Fitness/17/dept.html
2,overstock,Water Sports & Pools,http://www.overstock.com/Sports-Toys/Water-Sports-Pools/449/dept.html
2,overstock,Winter Sports,http://www.overstock.com/Sports-Toys/Winter-Sports/218/dept.html
2,overstock,Sports & Outdoors,http://www.overstock.com/As-Seen-on-TV/Sports-Outdoors/433/dept.html
2,walmart,Sports Fan Shop,http://www.walmart.com/cp/Sports-Fan-Shop/1063984?povid=cat121828-env999999-moduleA072012-lLinkGNAV5_SportsFitnessOutdoors_SportsFanShop
2,walmart,Sports,http://www.walmart.com/cp/Team-Sports/4161?povid=cat121828-env999999-moduleA072012-lLinkGNAV5_SportsFitnessOutdoors_Sports
3,walmart,Men's Big & Tall,http://www.walmart.com/cp/mens-big-and-tall-clothing/133198?povid=cat121828-env999999-moduleA072012-lLinkGNAV1_Apparel_MensBigTall
3,bloomingdales,Men,http://www1.bloomingdales.com/catalog/index.ognc?CategoryID=3864&PageID=16595938932650
3,overstock,Men's Sport Clothing,http://www.overstock.com/Sports-Toys/Mens-Sport-Clothing/287/dept.html
3,overstock,Men's Activewear,http://www.overstock.com/Clothing-Shoes/Mens-Activewear/113/dept.html
3,overstock,Men's Clothing,http://www.overstock.com/Clothing-Shoes/Mens-Clothing/26/dept.html
3,walmart,Men,http://www.walmart.com/cp/mens-clothing/133197?povid=cat121828-env999999-moduleA072012-lLinkGNAV1_Apparel_Men
3,walmart,Men's Grooming,http://www.walmart.com/cp/1056884?povid=cat121828-env999999-moduleA072012-lLinkGNAV1_Beauty_MensGrooming
4,overstock,Pet Occasions & Holidays,http://www.overstock.com/Pet-Supplies/Pet-Occasions-Holidays/328/dept.html
4,bjs,Pet Supplies,http://www.bjs.com/home/pet-supplies.category.712.385.2001751.1
4,overstock,Eco-Friendly Pet Supplies,http://www.overstock.com/Pet-Supplies/Eco-Friendly-Pet-Supplies/315/dept.html
4,overstock,Pet Apparel,http://www.overstock.com/Pet-Supplies/Pet-Apparel/322/dept.html
4,overstock,Pet Beds,http://www.overstock.com/Pet-Supplies/Pet-Beds/323/dept.html
4,overstock,Pet Carriers & Travel,http://www.overstock.com/Pet-Supplies/Pet-Carriers-Travel/324/dept.html
4,overstock,Pet Clean Up,http://www.overstock.com/Pet-Supplies/Pet-Clean-Up/447/dept.html
4,overstock,Pet Gates & Doors,http://www.overstock.com/Pet-Supplies/Pet-Gates-Doors/325/dept.html
4,overstock,Pet Grooming,http://www.overstock.com/Pet-Supplies/Pet-Grooming/326/dept.html
4,overstock,Pet Health Supplies,http://www.overstock.com/Pet-Supplies/Pet-Health-Supplies/327/dept.html
4,overstock,Pet Houses,http://www.overstock.com/Pet-Supplies/Pet-Houses/329/dept.html
4,overstock,Pet Jewelry,http://www.overstock.com/Pet-Supplies/Pet-Jewelry/330/dept.html
4,overstock,Pet Lover's Gifts,http://www.overstock.com/Pet-Supplies/Pet-Lovers-Gifts/331/dept.html
4,overstock,Pet Memorials,http://www.overstock.com/Pet-Supplies/Pet-Memorials/332/dept.html
4,overstock,Pet Stairs & Ramps,http://www.overstock.com/Pet-Supplies/Pet-Stairs-Ramps/333/dept.html
4,overstock,Pet Toys,http://www.overstock.com/Pet-Supplies/Pet-Toys/334/dept.html
4,overstock,Pet Training,http://www.overstock.com/Pet-Supplies/Pet-Training/335/dept.html
4,overstock,Pet Supplies,http://www.overstock.com/Eziba/Pet-Supplies/359/dept.html
4,walmart,Pets,http://www.walmart.com/cp/pet-supplies/5440?povid=cat121828-env999999-moduleA072012-lLinkGNAV3_HomeImprovement_Pets
4,wayfair,Pets,http://www.wayfair.com/Pets-C216358.html
5,bestbuy,iTunes Gift Cards,http://www.bestbuy.com/site/iPod-MP3-Players/iTunes-Gift-Cards/pcmcat281200050013.c?id=pcmcat281200050013
5,bjs,Gourmet Food & Gift Baskets,http://www.bjs.com/home/gourmet-food--gift-baskets.category.683.385.2000170.1
5,bjs,Gift Cards,http://www.bjs.com/seasonal/gift-cards.category.124013.28511.2001427.1
5,bjs,Baby Gifts,http://www.bjs.com/baby/baby-gifts.category.26507.1035.2002452.1
5,bjs,Spa Gifts,http://www.bjs.com/health--beauty/spa-gifts.category.983.850.2001677.1
5,bloomingdales,Gifts and Gift Cards,http://www1.bloomingdales.com/catalog/index.ognc?CategoryID=3948&PageID=16957179591995
5,overstock,Gifts & Hobbies,http://www.overstock.com/Worldstock-Fair-Trade/Gifts-Hobbies/24/dept.html
5,overstock,Gift Cards,http://www.overstock.com/Gifts-Flowers/Gift-Cards/309/dept.html
5,overstock,Photo Gifts,http://www.overstock.com/Gifts-Flowers/Photo-Gifts/131/dept.html
5,overstock,Craft Lover's Gifts,http://www.overstock.com/Crafts-Sewing/Craft-Lovers-Gifts/291/dept.html
5,overstock,Baby Gifts,http://www.overstock.com/Baby/Baby-Gifts/121/dept.html
5,overstock,Pet Lover's Gifts,http://www.overstock.com/Pet-Supplies/Pet-Lovers-Gifts/331/dept.html
5,overstock,Gifts & Flowers,http://www.overstock.com/Eziba/Gifts-Flowers/353/dept.html
5,overstock,Gift Baskets & More,http://www.overstock.com/Main-Street-Revolution/Gift-Baskets-More/373/dept.html
5,walmart,Gifts for Baby,http://www.walmart.com/cp/538387?povid=cat121828-env999999-moduleA092212-lLinkGNAV1_Baby_GiftsforBaby
5,walmart,Gift Baskets,http://www.walmart.com/browse/gifts-registry/gift-baskets/1094765_133059/?_refineresult=true&povid=cat121828-env999999-moduleA072012-lLinkGNAV2_GiftRegistry_GiftBaskets
5,walmart,Gift Cards,http://www.walmart.com/browse/gifts-registry/gift-cards/1094765_96894_1065244/?_refineresult=true&povid=cat121828-env999999-moduleA072012-lLinkGNAV2_GiftRegistry_GiftCards
5,walmart,Gifts by Recipient,http://www.walmart.com/browse/gifts-registry/gifts-by-recipient/1094765_1077684_1100564/?_refineresult=true&povid=cat121828-env999999-moduleA121312-lLinkGNAV2_GiftRegistry_Gifts%20by%20Recipient
5,walmart,Personalized Gifts,http://www.walmart.com/cp/133224?povid=cat121828-env999999-moduleA072012-lLinkGNAV2_GiftRegistry_PersonalizedGifts
5,walmart,Specialty Gift Cards,http://www.walmart.com/browse/gifts-registry/specialty-gift-cards/1094765_96894_972339/?_refineresult=true&povid=cat121828-env999999-moduleA100412-lLinkGNAV2_GiftRegistry_SpecialtyGiftCards
5,bjs,Pet Supplies,http://www.bjs.com/home/pet-supplies.category.712.385.2001751.1
5,overstock,Eco-Friendly Pet Supplies,http://www.overstock.com/Pet-Supplies/Eco-Friendly-Pet-Supplies/315/dept.html
5,overstock,Pet Apparel,http://www.overstock.com/Pet-Supplies/Pet-Apparel/322/dept.html
5,overstock,Pet Beds,http://www.overstock.com/Pet-Supplies/Pet-Beds/323/dept.html
5,overstock,Pet Carriers & Travel,http://www.overstock.com/Pet-Supplies/Pet-Carriers-Travel/324/dept.html
5,overstock,Pet Clean Up,http://www.overstock.com/Pet-Supplies/Pet-Clean-Up/447/dept.html
5,overstock,Pet Gates & Doors,http://www.overstock.com/Pet-Supplies/Pet-Gates-Doors/325/dept.html
5,overstock,Pet Grooming,http://www.overstock.com/Pet-Supplies/Pet-Grooming/326/dept.html
5,overstock,Pet Health Supplies,http://www.overstock.com/Pet-Supplies/Pet-Health-Supplies/327/dept.html
5,overstock,Pet Houses,http://www.overstock.com/Pet-Supplies/Pet-Houses/329/dept.html
5,overstock,Pet Jewelry,http://www.overstock.com/Pet-Supplies/Pet-Jewelry/330/dept.html
5,overstock,Pet Memorials,http://www.overstock.com/Pet-Supplies/Pet-Memorials/332/dept.html
5,overstock,Pet Occasions & Holidays,http://www.overstock.com/Pet-Supplies/Pet-Occasions-Holidays/328/dept.html
5,overstock,Pet Stairs & Ramps,http://www.overstock.com/Pet-Supplies/Pet-Stairs-Ramps/333/dept.html
5,overstock,Pet Toys,http://www.overstock.com/Pet-Supplies/Pet-Toys/334/dept.html
5,overstock,Pet Training,http://www.overstock.com/Pet-Supplies/Pet-Training/335/dept.html
